Plant Location,Plant Capacity (m³/day),Project Award Year,Raw Water Salinity (mg/L),Plant Type,Project Financing Type,Capital Cost (USD)
India,8526,2021,20006,Sea water,Public,10273000.0
USA,9636,2019,21977,Sea water,Private,20504000.0
USA,10341,2012,15212,Waste water,Public,14804000.0
India,6482,1992,17053,Sea water,Public,6625000.0
Saudi Arabia,35949,2020,17706,Brackish water,Public,21098000.0
India,1634,2021,24283,Sea water,Public,10388000.0
Saudi Arabia,3538,2016,28386,Waste water,Public,14145000.0
Germany,7308,1995,15974,Waste water,Private,11405000.0
Brazil,1566,2024,25384,Brackish water,Private,15465000.0
India,6796,2001,9151,Sea water,PPP,6395000.0
India,42679,1999,14029,Sea water,Public,8953000.0
Germany,8274,2022,15206,Sea water,Private,17863000.0
Saudi Arabia,10205,2006,13237,Sea water,Private,12465000.0
Saudi Arabia,2298,2020,12082,Brackish water,PPP,14751000.0
USA,4374,1995,22064,Brackish water,Public,16506000.0
South Africa,5568,2013,18929,Waste water,Private,10714000.0
USA,5897,2011,21897,Sea water,PPP,16369000.0
South Africa,29191,2005,23452,Brackish water,Public,15056000.0
Saudi Arabia,14153,2004,21328,Brackish water,PPP,15039000.0
USA,2666,1981,23288,Brackish water,Public,13015000.0
Saudi Arabia,10368,1991,19652,Sea water,Private,10956000.0
Brazil,13335,2019,14065,Brackish water,PPP,12238000.0
India,25340,1988,25289,Brackish water,Private,9795000.0
Brazil,39361,1991,17054,Waste water,Public,8143000.0
India,2936,2005,15322,Waste water,Public,6853000.0
India,3601,1988,19110,Sea water,PPP,5922000.0
Brazil,2304,1989,15435,Sea water,Public,6718000.0
Germany,6412,2011,17912,Brackish water,Public,18388000.0
Saudi Arabia,12917,2013,21720,Brackish water,Private,18688000.0
Germany,21749,1999,21741,Sea water,Public,15163000.0
South Africa,7510,2018,15510,Waste water,Public,10423000.0
South Africa,5884,1981,17561,Waste water,Public,6149000.0
USA,9431,1980,25371,Waste water,Public,10271000.0
India,3515,2015,22482,Sea water,Private,10097000.0
South Africa,65482,2003,30375,Waste water,Private,14863000.0
USA,1623,2006,25900,Waste water,Private,15741000.0
Saudi Arabia,9747,1981,25721,Brackish water,PPP,10654000.0
South Africa,61304,2010,13060,Brackish water,PPP,16193000.0
USA,8158,1993,23819,Waste water,Private,13250000.0
India,6700,1981,19734,Brackish water,Public,6799000.0
Germany,5667,2008,17245,Sea water,Private,15305000.0
South Africa,6765,1994,20840,Brackish water,Public,10831000.0
South Africa,31979,1991,24726,Brackish water,Private,13281000.0
South Africa,887,2016,22504,Sea water,Private,12547000.0
Saudi Arabia,37550,2007,15607,Waste water,Public,13333000.0
Brazil,1950,1999,23712,Brackish water,PPP,10018000.0
Brazil,6206,2018,16812,Brackish water,Public,12625000.0
Germany,5275,2003,21083,Sea water,Private,15068000.0
Brazil,14596,2000,18483,Brackish water,Public,10885000.0
USA,1639,1989,18905,Sea water,PPP,11107000.0
Saudi Arabia,12863,1993,23831,Sea water,Public,11529000.0
Germany,61347,2016,14799,Brackish water,Public,26208000.0
USA,2073,1997,29725,Brackish water,Public,18506000.0
USA,9795,2003,10894,Brackish water,Public,16426000.0
India,4179,1993,17011,Sea water,Public,6617000.0
Germany,12405,2013,21851,Brackish water,Private,21768000.0
India,8259,1991,22921,Sea water,Public,7144000.0
USA,4266,2001,19497,Waste water,Public,13045000.0
Germany,13198,1985,19713,Brackish water,Public,13397000.0
Saudi Arabia,49234,2015,22052,Brackish water,PPP,21298000.0
India,6694,2024,18844,Sea water,Private,10858000.0
Germany,16643,2015,26965,Sea water,Private,20298000.0
India,2223,2001,24196,Waste water,Private,7699000.0
Brazil,3113,1993,24364,Sea water,Public,8179000.0
India,12996,1995,15169,Brackish water,Public,8497000.0
Germany,35743,2015,19603,Brackish water,Public,23734000.0
USA,11563,2004,18497,Sea water,PPP,14841000.0
Brazil,5925,2011,14971,Waste water,PPP,8023000.0
USA,8097,2012,21800,Brackish water,Public,21271000.0
Brazil,2320,2024,17311,Sea water,Public,11006000.0
Saudi Arabia,14831,2015,23277,Sea water,Public,15638000.0
South Africa,19581,1999,14649,Sea water,Public,9759000.0
India,5155,1997,28595,Waste water,Private,7832000.0
South Africa,5064,2017,15518,Brackish water,Public,13498000.0
Saudi Arabia,10571,1982,21096,Sea water,PPP,8579000.0
India,5235,2002,23959,Sea water,Public,8381000.0
Saudi Arabia,7584,2011,17146,Brackish water,PPP,14894000.0
Saudi Arabia,66152,2024,24262,Brackish water,Private,29059000.0
India,6329,1995,13854,Brackish water,Private,8364000.0
Brazil,5662,1984,27260,Sea water,Private,7785000.0
South Africa,4240,1983,20070,Sea water,Private,7652000.0
India,17054,2000,17017,Brackish water,Private,10153000.0
Saudi Arabia,6759,2019,18504,Waste water,Private,13819000.0
Saudi Arabia,4232,1993,24044,Sea water,Private,11515000.0
India,30372,2018,17077,Brackish water,PPP,12509000.0
Germany,33510,2010,16253,Brackish water,Private,22313000.0
USA,4445,1993,18892,Brackish water,Private,16129000.0
Saudi Arabia,1253,1985,14115,Sea water,PPP,7691000.0
Germany,22192,1991,29102,Waste water,Public,13172000.0
Germany,4086,1995,17168,Brackish water,Public,14360000.0
Germany,17865,1996,24158,Brackish water,Public,17505000.0
USA,1129,2024,21047,Sea water,Private,20194000.0
USA,19783,2002,15077,Sea water,PPP,14574000.0
South Africa,2413,1993,19970,Sea water,Public,8520000.0
Saudi Arabia,16827,1986,23920,Waste water,Private,9959000.0
Saudi Arabia,8219,2011,19058,Sea water,Private,14224000.0
India,3121,1994,25965,Brackish water,Public,9050000.0
Germany,5393,2023,25107,Sea water,Private,20260000.0
South Africa,16095,1996,24594,Brackish water,PPP,11781000.0
India,9008,2020,17701,Brackish water,Public,11853000.0
USA,14536,2023,14600,Sea water,Private,20051000.0
Saudi Arabia,58480,2013,16932,Sea water,Private,19157000.0
Brazil,1695,1984,20981,Sea water,Public,6633000.0
South Africa,40831,2024,22728,Brackish water,Public,19963000.0
Saudi Arabia,8994,2006,9142,Brackish water,PPP,12536000.0
India,3298,2002,19959,Sea water,Public,7837000.0
USA,2142,2019,20790,Brackish water,Public,21873000.0
South Africa,6706,1993,18612,Sea water,Public,8614000.0
Germany,20366,1994,26456,Sea water,Private,15526000.0
South Africa,7132,2022,22108,Sea water,Private,13924000.0
India,36722,2012,26550,Waste water,Private,11207000.0
India,1898,2010,18920,Sea water,Public,8496000.0
Saudi Arabia,8005,2014,24687,Sea water,PPP,14277000.0
Germany,2316,1996,28175,Sea water,Public,13928000.0
USA,11656,2007,26558,Sea water,Public,18080000.0
Germany,19670,1998,14539,Brackish water,Public,16143000.0
USA,5320,2002,18731,Sea water,Public,14649000.0
India,599,2011,18274,Sea water,PPP,7998000.0
Saudi Arabia,9886,2019,22446,Brackish water,PPP,17853000.0
USA,12540,1992,23431,Sea water,Public,14083000.0
South Africa,12140,1999,15805,Waste water,PPP,8034000.0
Brazil,27883,2014,20339,Brackish water,Private,15292000.0
South Africa,2776,1984,9900,Sea water,PPP,5957000.0
South Africa,15997,1988,27209,Brackish water,Public,11268000.0
USA,26702,2008,17438,Sea water,Private,18905000.0
Saudi Arabia,1368,1985,20279,Brackish water,Public,10679000.0
India,11155,2004,18451,Brackish water,PPP,9466000.0
India,4894,2010,25730,Sea water,Public,9506000.0
USA,7468,2001,5812,Brackish water,Private,15220000.0
Brazil,11472,1981,19916,Waste water,Public,5938000.0
Germany,4977,2024,19470,Waste water,Public,16193000.0
Germany,4122,1984,17731,Brackish water,Private,12663000.0
Saudi Arabia,8384,2006,28631,Brackish water,PPP,16315000.0
Saudi Arabia,2731,2004,15563,Sea water,Private,11887000.0
Saudi Arabia,2735,1987,23858,Sea water,PPP,9262000.0
USA,15984,1980,21781,Brackish water,Public,13641000.0
Brazil,2568,1999,26307,Sea water,Private,9637000.0
Germany,15777,2023,16664,Waste water,Public,16599000.0
USA,12869,2002,16335,Sea water,Public,14932000.0
Brazil,1442,2011,25480,Sea water,Private,11110000.0
South Africa,4115,1990,22126,Sea water,Private,8902000.0
Brazil,26745,2018,12275,Waste water,Private,10784000.0
Brazil,3037,2003,17303,Brackish water,Private,10852000.0
India,5092,1990,21931,Brackish water,Private,8580000.0
Saudi Arabia,12862,2008,24188,Sea water,Public,14337000.0
USA,17736,2005,16603,Waste water,Public,14519000.0
Saudi Arabia,6300,1995,5428,Sea water,Private,9138000.0
Saudi Arabia,4458,2014,22616,Waste water,Public,12901000.0
Germany,33602,1999,13898,Brackish water,Public,17774000.0
India,46115,1982,9913,Sea water,Public,6558000.0
Saudi Arabia,21565,1980,5838,Brackish water,Private,9593000.0
USA,8824,1980,24069,Brackish water,Public,13420000.0
Germany,3610,1996,20643,Sea water,Private,13388000.0
India,3531,1981,18871,Waste water,Private,5188000.0
USA,13663,2008,26945,Brackish water,Public,22348000.0
Brazil,12312,1999,23186,Sea water,Private,9854000.0
Saudi Arabia,32912,1985,28081,Sea water,Private,12479000.0
Saudi Arabia,15528,1987,13036,Brackish water,Private,11623000.0
Saudi Arabia,1802,2008,19827,Brackish water,Private,15888000.0
Brazil,23200,2012,11916,Brackish water,Public,12370000.0
Germany,2986,1982,18853,Brackish water,Private,12291000.0
India,5519,2014,18756,Brackish water,Public,10957000.0
Saudi Arabia,10406,1984,23133,Waste water,PPP,8223000.0
Germany,59615,2006,20227,Brackish water,PPP,22990000.0
Brazil,181664,2023,23117,Waste water,Private,24701000.0
India,14864,1991,23517,Sea water,Public,7506000.0
India,6746,1999,30774,Sea water,Public,8825000.0
Brazil,13828,2024,18423,Sea water,Public,12110000.0
Brazil,19685,1999,15294,Brackish water,Public,10638000.0
India,5880,1988,21230,Waste water,Public,5885000.0
Brazil,48786,2018,15988,Sea water,Private,14316000.0
India,10199,1983,27409,Sea water,Public,6647000.0
India,13329,1998,18583,Waste water,PPP,6631000.0
India,15770,2017,17172,Sea water,Public,9926000.0
India,12352,2006,17643,Brackish water,PPP,9695000.0
USA,18749,2024,23592,Brackish water,PPP,25268000.0
Brazil,4370,2022,19211,Waste water,Private,10641000.0
Brazil,4636,1992,16791,Sea water,Private,7713000.0
USA,2696,1992,28326,Sea water,Public,14078000.0
Brazil,12575,2001,15719,Brackish water,Private,11043000.0
USA,17657,2007,20177,Waste water,Public,15604000.0
Germany,12807,2024,23261,Brackish water,Public,23903000.0
India,43238,2001,11843,Sea water,Private,9481000.0
USA,8057,2022,22401,Brackish water,Public,24048000.0
Brazil,15815,1998,14724,Waste water,Private,8001000.0
Brazil,2719,1987,24113,Waste water,Public,6621000.0
Saudi Arabia,5502,1987,15186,Waste water,Public,7946000.0
USA,16244,2021,23463,Sea water,Public,21159000.0
Germany,18941,2005,25529,Sea water,Public,16957000.0
India,6039,2005,24307,Brackish water,Public,10578000.0
South Africa,7543,2002,21256,Waste water,Public,9237000.0
India,1776,2022,18843,Sea water,Public,9751000.0
Germany,5670,1992,17117,Sea water,PPP,10929000.0
India,19739,2007,27355,Waste water,Public,9188000.0
Saudi Arabia,14403,1988,16502,Sea water,Private,10260000.0
India,13368,1999,14814,Sea water,Public,7499000.0
USA,8516,1998,23326,Brackish water,PPP,17093000.0
India,8160,2018,16019,Brackish water,Public,11252000.0
Saudi Arabia,4186,1991,15249,Waste water,Public,8429000.0
South Africa,16298,1994,12781,Sea water,Private,9079000.0
Germany,12344,2010,17585,Brackish water,Public,18835000.0
India,13253,1993,19586,Brackish water,Private,9219000.0
South Africa,4788,1990,21215,Brackish water,Public,10070000.0
USA,940,2005,24756,Brackish water,PPP,18280000.0
South Africa,24273,2021,22634,Sea water,Public,14657000.0
India,5019,2006,19045,Sea water,Public,8266000.0
USA,3419,1990,19009,Sea water,Private,12729000.0
Germany,16211,2017,22550,Sea water,Public,18665000.0
India,5475,2013,26362,Brackish water,PPP,11345000.0
USA,23387,2022,20631,Waste water,Public,19427000.0
Saudi Arabia,15018,1998,17654,Waste water,Private,11040000.0
Germany,16051,1985,15035,Waste water,Public,9620000.0
India,2067,2017,12773,Sea water,PPP,7994000.0
USA,27226,2021,23331,Brackish water,Private,28483000.0
Brazil,10522,2007,22889,Sea water,Public,10290000.0
South Africa,5601,1980,22886,Sea water,Public,7190000.0
South Africa,9352,2014,19356,Sea water,Public,11816000.0
India,1371,2019,27034,Brackish water,PPP,11953000.0
USA,12193,1987,17579,Waste water,Public,10772000.0
India,2894,1986,24776,Sea water,Public,6488000.0
USA,2095,1990,19806,Sea water,Public,12116000.0
USA,1768,2018,16958,Waste water,Public,15313000.0
Germany,24653,1983,22962,Sea water,Private,12657000.0
Saudi Arabia,4318,2004,22048,Waste water,PPP,10675000.0
India,37561,1991,21784,Waste water,Private,7955000.0
India,4741,2005,20406,Waste water,PPP,7074000.0
Saudi Arabia,1469,2017,19810,Brackish water,Private,17676000.0
Germany,2653,1991,31941,Brackish water,Public,16213000.0
South Africa,27884,2022,25921,Brackish water,Public,18850000.0
Saudi Arabia,6933,2016,23614,Brackish water,Private,19091000.0
Saudi Arabia,4683,2003,20558,Brackish water,PPP,13794000.0
USA,9509,1995,25035,Sea water,PPP,14003000.0
India,13383,1992,22589,Brackish water,Public,8966000.0
India,24770,2004,20131,Brackish water,Public,11138000.0
Germany,34492,1983,18482,Waste water,Public,10877000.0
USA,5654,1990,19595,Waste water,PPP,10559000.0
India,2151,2011,4147,Brackish water,PPP,7729000.0
India,5359,1986,21053,Sea water,Private,6606000.0
Germany,10512,1990,17557,Waste water,Public,10459000.0
South Africa,3090,2007,27963,Brackish water,Private,14693000.0
USA,3111,2020,20096,Waste water,Public,16541000.0
Saudi Arabia,11427,2002,14055,Waste water,Public,10308000.0
South Africa,7718,2024,19750,Sea water,Private,13838000.0
Saudi Arabia,8373,2002,14769,Waste water,Public,10188000.0
India,3795,2007,22367,Sea water,Public,8692000.0
Saudi Arabia,6435,2022,21454,Sea water,PPP,14839000.0
Germany,3215,2005,24789,Brackish water,Private,19252000.0
South Africa,19735,2004,16045,Sea water,Public,10673000.0
Saudi Arabia,22816,2008,20170,Waste water,Private,13744000.0
Brazil,1278,1998,13174,Sea water,Public,7420000.0
Germany,3198,2012,23507,Sea water,Private,17244000.0
Germany,1814,2015,22594,Brackish water,Private,20992000.0
USA,4230,1993,22479,Waste water,Private,12688000.0
India,7454,1993,20008,Waste water,Private,6689000.0
Saudi Arabia,1901,2014,22073,Waste water,Public,12587000.0
Brazil,3223,2009,28021,Brackish water,Public,12909000.0
Saudi Arabia,2969,2007,18574,Sea water,Public,12299000.0
South Africa,9969,1996,20693,Sea water,Public,9490000.0
USA,8684,1982,14569,Sea water,Private,10750000.0
Brazil,3937,1995,15658,Brackish water,Public,9020000.0
India,9670,2009,20489,Brackish water,Public,10854000.0
India,4690,2008,25519,Brackish water,Public,11078000.0
Brazil,6175,2024,18718,Waste water,PPP,9841000.0
India,43193,1994,18820,Brackish water,Public,10555000.0
India,30960,2004,17965,Sea water,Private,9880000.0
USA,2209,2017,17326,Sea water,Public,16967000.0
USA,18577,2021,21474,Waste water,Public,18851000.0
South Africa,18240,2017,12513,Waste water,Public,10657000.0
India,2570,2002,26404,Waste water,Private,8055000.0
India,18375,2004,16672,Sea water,Private,8982000.0
Saudi Arabia,37719,2021,23609,Waste water,PPP,16358000.0
USA,2637,1986,13650,Sea water,Public,10369000.0
USA,3237,2001,23344,Sea water,Public,15169000.0
India,22418,1996,23359,Waste water,PPP,7234000.0
Saudi Arabia,10630,1997,21921,Sea water,Public,11799000.0
Germany,14065,2020,15027,Brackish water,Private,21791000.0
Saudi Arabia,11391,1989,21247,Sea water,Private,10895000.0
USA,11976,1989,14084,Brackish water,Public,14139000.0
Saudi Arabia,2150,1986,18736,Waste water,Private,8444000.0
Germany,23093,2017,25147,Sea water,Public,20063000.0
India,26097,2006,23983,Brackish water,Public,12065000.0
Germany,6442,2012,20075,Sea water,Public,15987000.0
Saudi Arabia,7758,1980,15125,Brackish water,PPP,8943000.0
USA,1752,2023,23227,Sea water,Public,19641000.0
USA,13551,2013,20096,Sea water,Private,19141000.0
Saudi Arabia,14357,1983,8398,Sea water,PPP,7507000.0
Saudi Arabia,7614,1996,23913,Sea water,Private,12311000.0
India,24943,1983,19878,Waste water,Private,6285000.0
Germany,5801,2022,26012,Sea water,Public,19311000.0
India,14251,2005,14523,Sea water,Public,8168000.0
Brazil,2922,1983,4116,Brackish water,Public,6044000.0
India,7914,1980,21395,Sea water,Private,6028000.0
USA,6806,1986,21457,Waste water,PPP,10187000.0
Saudi Arabia,10150,2009,11546,Waste water,PPP,10231000.0
USA,5599,1988,15107,Brackish water,PPP,12761000.0
Germany,7104,2014,33776,Waste water,PPP,16637000.0
South Africa,18509,1987,18471,Brackish water,Public,10101000.0
USA,5235,2003,23654,Sea water,Private,16703000.0
Saudi Arabia,1625,1998,16746,Brackish water,PPP,11908000.0
India,46610,2015,9548,Brackish water,Public,12846000.0
India,32255,2022,19148,Brackish water,PPP,13557000.0
Saudi Arabia,2225,2006,18671,Waste water,Public,10883000.0
USA,16150,2011,18000,Brackish water,Private,22183000.0
Germany,4900,1993,19426,Waste water,Private,11411000.0
Saudi Arabia,10545,1997,21321,Waste water,PPP,9976000.0
USA,10875,2007,19249,Brackish water,Public,19668000.0
Saudi Arabia,6409,2008,13679,Brackish water,Private,15025000.0
USA,3700,1995,22430,Sea water,Private,14485000.0
USA,4062,2014,10253,Waste water,Public,13420000.0
Saudi Arabia,3241,2010,9748,Brackish water,Private,14139000.0
USA,3526,1983,23695,Sea water,Private,11998000.0
Saudi Arabia,7576,2016,22535,Sea water,Private,15753000.0
India,3960,1996,19713,Brackish water,Public,8631000.0
Brazil,16027,2018,13022,Sea water,Public,10689000.0
Germany,35855,2005,16460,Sea water,Private,17721000.0
USA,4536,2018,18686,Brackish water,Public,21354000.0
USA,10294,2020,12020,Sea water,Public,17228000.0
India,13355,1983,16304,Brackish water,PPP,6684000.0
India,12990,2009,23261,Sea water,Private,10081000.0
USA,8742,2009,27136,Sea water,Private,19317000.0
South Africa,17029,2001,17902,Brackish water,Public,12370000.0
USA,13124,1990,23782,Brackish water,Public,16487000.0
Saudi Arabia,2350,1981,10429,Sea water,Public,7163000.0
India,19325,2023,23297,Sea water,Public,11727000.0
Brazil,19678,1991,15980,Brackish water,Private,9990000.0
India,3777,2009,21536,Sea water,Private,9281000.0
Brazil,8416,2015,18761,Sea water,Public,10606000.0
Germany,16047,1997,26602,Sea water,Public,15082000.0
Brazil,6572,2005,15627,Waste water,Public,7954000.0
USA,23694,1986,23138,Waste water,Public,12207000.0
Brazil,86152,1980,18602,Waste water,Public,8594000.0
Saudi Arabia,3692,2005,19208,Waste water,PPP,10360000.0
Brazil,2036,2002,19080,Brackish water,Private,10902000.0
Saudi Arabia,10979,2005,15771,Brackish water,Private,15392000.0
India,16673,2024,19929,Brackish water,Public,13419000.0
Saudi Arabia,6432,1985,19686,Sea water,PPP,8661000.0
India,34657,1985,21206,Brackish water,Private,9349000.0
USA,2124,2023,20422,Waste water,Private,17950000.0
USA,16202,1987,23989,Brackish water,Public,16003000.0
Germany,4421,2003,24617,Sea water,PPP,14133000.0
USA,45223,2001,14746,Sea water,PPP,16746000.0
Brazil,59427,1998,24343,Brackish water,PPP,13755000.0
Germany,3764,2016,14068,Brackish water,Public,18104000.0
South Africa,4677,1997,22939,Waste water,Public,8625000.0
Germany,19140,2010,23098,Sea water,Public,17592000.0
USA,5502,2016,10443,Waste water,Public,13940000.0
India,7743,2009,20464,Brackish water,PPP,10148000.0
India,8311,2021,17657,Waste water,Public,8940000.0
Saudi Arabia,1188,2012,16206,Brackish water,Public,14987000.0
Saudi Arabia,7991,1989,26754,Brackish water,Public,13035000.0
India,4065,2016,16731,Brackish water,Public,10787000.0
Germany,4948,1991,15968,Waste water,Public,9995000.0
South Africa,34325,2009,20378,Waste water,Private,12448000.0
South Africa,2306,2006,23427,Sea water,Private,11336000.0
India,18273,2018,19291,Sea water,Public,10490000.0
USA,6130,1988,25831,Waste water,Public,11737000.0
India,6125,2000,22654,Brackish water,Public,9667000.0
USA,17860,1991,9108,Brackish water,Public,14194000.0
USA,11384,2008,17352,Brackish water,Private,20511000.0
Germany,14337,2012,17190,Sea water,Private,17073000.0
Saudi Arabia,21336,2022,22396,Waste water,Private,16506000.0
Brazil,5817,1994,6875,Waste water,Private,6198000.0
India,4392,1981,32745,Sea water,Public,6585000.0
India,2737,2018,22655,Sea water,PPP,9380000.0
Saudi Arabia,3549,2023,20744,Waste water,PPP,13111000.0
Germany,154677,1997,25907,Sea water,PPP,25874000.0
Saudi Arabia,28132,1982,31718,Waste water,Public,10221000.0
South Africa,2098,1986,24353,Sea water,PPP,7601000.0
USA,2159,2022,24744,Brackish water,PPP,22601000.0
Brazil,13119,1997,20653,Waste water,PPP,7543000.0
Saudi Arabia,14006,2023,19292,Brackish water,Public,19413000.0
Saudi Arabia,14029,2017,17621,Brackish water,Private,18701000.0
India,6279,2016,15869,Brackish water,PPP,10255000.0
Saudi Arabia,7147,2012,16564,Sea water,Private,13803000.0
Brazil,11247,2023,13247,Sea water,Private,11529000.0
South Africa,8829,2010,19620,Waste water,PPP,9595000.0
Saudi Arabia,880,1990,11576,Waste water,Public,7635000.0
Germany,6439,1983,20954,Brackish water,Private,13209000.0
Saudi Arabia,3458,1997,19818,Sea water,Public,10930000.0
South Africa,9654,1983,20734,Sea water,PPP,7209000.0
Germany,160373,2013,17389,Sea water,Public,32582000.0
India,11701,2008,35384,Brackish water,Private,13663000.0
India,5922,2003,26800,Waste water,Private,8384000.0
India,20369,2001,13777,Brackish water,Private,10082000.0
USA,13130,1981,21164,Waste water,Private,10703000.0
India,12333,2023,16959,Sea water,PPP,9793000.0
South Africa,14866,1985,14927,Sea water,PPP,7164000.0
USA,63357,2021,13299,Sea water,Public,24632000.0
Germany,2615,2004,22161,Brackish water,Public,17354000.0
South Africa,13012,2000,16593,Sea water,Public,9722000.0
USA,3208,1995,24839,Waste water,Public,12745000.0
Brazil,14122,2010,24968,Sea water,Private,11812000.0
Saudi Arabia,3233,1993,26869,Waste water,PPP,9612000.0
Germany,5338,2018,15738,Brackish water,PPP,18204000.0
Brazil,6032,2007,22376,Waste water,Public,8934000.0
Saudi Arabia,21500,2011,23162,Brackish water,Public,18596000.0
Saudi Arabia,20301,2007,17629,Waste water,Private,12936000.0
Saudi Arabia,2331,1988,16141,Sea water,Private,9369000.0
Saudi Arabia,8560,2024,28047,Waste water,Public,15880000.0
USA,3985,2001,21137,Waste water,PPP,12617000.0
Saudi Arabia,2301,2011,23179,Sea water,PPP,13005000.0
South Africa,6522,1984,15889,Sea water,Public,7095000.0
Germany,5952,2002,13903,Brackish water,PPP,14561000.0
India,91740,1984,17152,Waste water,Public,8349000.0
Germany,12493,2021,19379,Brackish water,Private,23123000.0
India,2043,2011,14678,Brackish water,Public,9707000.0
USA,4606,1989,19950,Sea water,Public,12149000.0
South Africa,22502,2018,11557,Sea water,PPP,11533000.0
Saudi Arabia,65410,1994,14399,Waste water,Public,12752000.0
Germany,1659,1986,23354,Sea water,Private,11632000.0
USA,1236,2008,23018,Brackish water,Public,19643000.0
USA,52625,1982,18040,Waste water,Public,12585000.0
Saudi Arabia,11963,1998,14911,Sea water,Public,10991000.0
Germany,3400,1989,14862,Brackish water,Public,12535000.0
Brazil,13830,2007,18133,Sea water,Private,10402000.0
Saudi Arabia,580,2008,23222,Brackish water,Public,15688000.0
Germany,8130,1994,24641,Sea water,Private,14104000.0
India,11246,2014,17517,Waste water,Private,8847000.0
India,20420,1985,14232,Sea water,Private,6551000.0
USA,2939,1991,21339,Brackish water,Public,15189000.0
USA,8828,2017,15882,Brackish water,PPP,19815000.0
USA,3211,1992,17408,Sea water,Public,12195000.0
India,10460,2008,26626,Waste water,Public,8734000.0
India,3309,1998,24135,Sea water,Public,7834000.0
Saudi Arabia,5387,1982,20789,Brackish water,Public,10455000.0
Brazil,2993,1987,13640,Sea water,Public,6349000.0
Brazil,15539,1987,21056,Brackish water,Private,9705000.0
Saudi Arabia,19119,1999,25313,Sea water,Public,13352000.0
Brazil,6408,1983,18121,Brackish water,Public,7757000.0
Germany,8418,2000,26755,Sea water,Private,15869000.0
USA,1903,1982,26463,Waste water,Public,10326000.0
Germany,6004,2024,28318,Sea water,Public,20333000.0
USA,7706,1987,21526,Waste water,Public,11021000.0
Saudi Arabia,111390,2002,22936,Waste water,Private,20005000.0
South Africa,2665,1995,27070,Sea water,Public,9683000.0
USA,35037,1992,22236,Brackish water,Public,19032000.0
USA,21957,1982,17493,Sea water,Private,12242000.0
Saudi Arabia,10728,1988,17757,Sea water,Private,10178000.0
South Africa,47033,1993,21192,Waste water,Private,10740000.0
Germany,11755,1992,13547,Brackish water,PPP,13016000.0
Saudi Arabia,11958,1986,19283,Brackish water,Public,11531000.0
USA,7683,1994,25482,Sea water,Public,14469000.0
USA,27544,1986,9043,Sea water,Public,11621000.0
South Africa,24257,2017,27672,Sea water,Public,14844000.0
South Africa,4334,2013,25611,Waste water,Public,11039000.0
USA,2166,2020,17701,Brackish water,Public,21172000.0
South Africa,6614,2001,22716,Waste water,Private,9716000.0
India,3640,2003,20015,Sea water,Private,8390000.0
Brazil,7604,2016,26149,Sea water,Public,11758000.0
Saudi Arabia,27929,2023,24913,Sea water,Private,19837000.0
Saudi Arabia,5129,1980,12999,Sea water,Public,7474000.0
Saudi Arabia,7763,1989,22936,Sea water,Public,10333000.0
India,8587,2022,18971,Waste water,Private,9706000.0
USA,18928,1995,20414,Waste water,Public,13318000.0
USA,856,1987,16359,Brackish water,Public,13019000.0
Germany,4417,2004,28740,Brackish water,Public,19121000.0
India,10009,1991,25200,Sea water,PPP,7045000.0
Germany,26905,2004,16301,Waste water,Private,14872000.0
India,4954,1996,13326,Sea water,Public,6601000.0
South Africa,1240,2005,18071,Waste water,PPP,8346000.0
USA,15058,1993,22172,Brackish water,Private,18076000.0
India,4292,2020,21201,Sea water,Private,10562000.0
Saudi Arabia,2465,2015,26265,Waste water,PPP,12806000.0
Brazil,4340,2002,23949,Sea water,Public,9372000.0
USA,6737,2022,24847,Brackish water,Public,24610000.0
India,4426,1985,21634,Brackish water,Private,7798000.0
Brazil,892,1984,13053,Sea water,Private,6172000.0
South Africa,19871,2022,19021,Brackish water,Private,17434000.0
India,28994,2004,25300,Brackish water,Private,12758000.0
Saudi Arabia,15545,1997,19742,Waste water,PPP,10096000.0
India,2597,1992,22515,Sea water,PPP,6590000.0
Brazil,6624,2022,18406,Waste water,PPP,9620000.0
Saudi Arabia,8050,1993,14850,Sea water,PPP,9373000.0
USA,14746,2007,19383,Sea water,PPP,15958000.0
South Africa,15809,1997,21545,Sea water,Public,10114000.0
India,3888,2007,16721,Sea water,Public,8037000.0
India,8795,2006,18821,Sea water,Public,8458000.0
Germany,12801,2011,15302,Waste water,PPP,13172000.0
India,34746,1988,25596,Sea water,Private,8628000.0
Saudi Arabia,16391,2019,18527,Sea water,Private,16388000.0
India,17837,2011,27263,Sea water,Public,10611000.0
USA,8811,1999,27643,Waste water,Public,14521000.0
India,33205,2007,19594,Waste water,Private,9557000.0
South Africa,12206,2012,14957,Sea water,Public,11071000.0
USA,3425,1983,9570,Sea water,Public,9257000.0
South Africa,32970,2013,12639,Sea water,Public,12478000.0
Saudi Arabia,16283,1982,13130,Sea water,Public,8450000.0
Brazil,5202,2005,26892,Sea water,Private,10732000.0
India,5016,1987,20579,Brackish water,Public,7599000.0
Saudi Arabia,10900,1985,21948,Sea water,Private,10217000.0
India,12876,1995,8897,Brackish water,Public,7746000.0
Brazil,9870,2003,14010,Sea water,PPP,8153000.0
Saudi Arabia,11062,2018,24435,Waste water,Public,14440000.0
Germany,44353,2009,21433,Waste water,Private,18636000.0
India,23660,2024,19263,Brackish water,Private,14636000.0
